scenario,mean_savings,std_savings,se_savings,ci_lower,ci_upper,t_statistic,p_value,significant,mean_improvement_pct
unlimited,57815.208333333336,120741.2887599554,24646.212362327715,9508.632103171018,106121.78456349566,2.2964141057259546,0.031096558717962876,True,0.5654166666666667
limited_50,28907.604166666668,60370.6443799777,12323.106181163857,4754.316051585509,53060.89228174783,2.2964141057259546,0.031096558717962876,True,0.27958333333333335
price_impact,51795.3125,116208.3823315732,23720.936712217874,5302.276544052969,98288.34845594704,2.137553139140841,0.04340831386071163,True,0.4879166666666667
