Scenario,TotalExecutionCost,AvgCostPerShare
Real Execution,4412718.962921999,6.207909944996074
Simulated A,474860.0,5.760347421029647
Simulated B,321.0,0.000617393177516887
Simulated C,1114970.0,10.280200630658873
