order_id,exchange,timestamp,security_code,price,side,changereason,orderstatus,quantity,leavesquantity,ordertype,exchangeordertype,national_bid,national_offer,bid,offer,participantid,preferenceonly,midtick,singlefillminimumquantity,minimumquantity,sequence,crossingkey,totalmatchedquantity,shortsellquantity,triggercondition,timevaliditydecoded,row_num,timevalidity,date
7901232681961407641,3,1725492325030260848,110621,3800,2,5,1,258,258,1,2048,3570,3300,3570,3300,54,0,2,0,0,1885979,0,0,0,0,Current Max,567,1536,2024-09-05
7904398175939685642,3,1725483605044400453,110621,3250,1,1,2,2000,2000,1,2048,3400,3410,3400,3410,54,0,2,0,0,1047461,0,0,0,0,Current Max,431,1536,2024-09-05
7904398175942455363,3,1725494536001032398,110621,3380,1,3,2,130,0,1,2048,3330,3340,3330,3340,54,0,2,0,0,3113565,0,130,0,0,Current Max,2113,1536,2024-09-05
7904398175942498259,3,1725494536001032398,110621,3340,1,3,2,1000,0,1,2048,3330,3340,3330,3340,54,0,2,0,0,3113615,0,1000,0,0,Current Max,2163,1536,2024-09-05
7904398175943086536,3,1725494536001032398,110621,3400,1,3,2,294,0,1,2048,3330,3340,3330,3340,54,0,2,0,0,3113542,0,294,0,0,Current Max,2090,1536,2024-09-05
7904398175947644382,3,1725494536001032398,110621,3370,1,3,2,3000,0,1,2048,3330,3340,3330,3340,54,0,2,0,0,3113590,0,3000,0,0,Current Max,2138,1536,2024-09-05
7904794000123656550,3,1725483607470806491,110621,3200,1,6,1,32,32,1,2048,3400,3410,3400,3410,54,0,2,0,0,1048504,0,0,0,0,Current Max,433,1536,2024-09-05
7904794000123656810,3,1725483610170350690,110621,3250,1,6,1,307,307,1,2048,3400,3410,3400,3410,54,0,2,0,0,1049712,0,0,0,0,Current Max,438,1536,2024-09-05
7904794000123657365,3,1725483616060618664,110621,3000,1,6,1,1000,1000,1,2048,3400,3410,3400,3410,54,0,2,0,0,1052263,0,0,0,0,Days,441,1370,2024-09-05
7904794000123682472,3,1725494536001032398,110621,3410,1,3,2,35,0,1,2048,3330,3340,3330,3340,54,0,2,0,0,3113534,0,35,0,0,Current Max,2082,1536,2024-09-05
7904794000123738231,3,1725494536001032398,110621,3190,2,3,2,25,0,1,2048,3330,3340,3330,3340,67,0,2,0,0,3113537,0,25,0,0,Rest of Day,2085,256,2024-09-05
7904794000123751956,3,1725494536001032398,110621,3460,1,3,2,190,0,1,2048,3330,3340,3330,3340,67,0,2,0,0,3113516,0,190,0,0,Rest of Day,2064,256,2024-09-05
