orderid,orderbookid,qty_filled,order_quantity,fill_ratio,fill_rate_pct,num_fills,avg_fill_size,fill_status,vwap,arrival_midpoint,arrival_bid,arrival_offer,arrival_spread,arrival_spread_bps,limit_price,price_improvement,price_improvement_bps,exec_cost_arrival_bps,exec_cost_vw_bps,effective_spread_pct,slippage_bps,implementation_shortfall_bps,total_execution_value,order_timestamp,first_fill_time,last_fill_time,time_to_first_fill_sec,execution_duration_sec,total_duration_sec,avg_time_between_fills,vw_exec_time_sec,first_fill_midpoint,last_fill_midpoint,market_drift_bps,avg_execution_spread_bps,spread_volatility_bps,price_volatility_bps,date,orderbookid_partition,ticker
7904793995828993037,85603,13.0,52.0,0.25,25.0,2.0,6.5,Partially Filled,140670.0,140625.0,140620.0,140630.0,10.0,0.711111111111111,140670.0,0.0,0.0,-3.2,-1.4219694276573054,900.0,-3.2,3.2,1828710.0,1725494822620349744,1725494804034825036,1725494808535684394,0.0,4.500859358,0.0,4.500859358,0.0,140650.0,140650.0,0.0,2.8439388553146108,0.0,0.0,2024-09-05,85603,cba
7904793995829011298,85603,9.0,76.0,0.11842105263157894,11.842105263157894,1.0,9.0,Partially Filled,140730.0,140865.0,140850.0,140880.0,30.0,2.1296986476413586,140830.0,100.0,7.100759781296598,-9.583643914386114,-1.7761358388689568,900.0,-9.583643914386114,-9.583643914386114,1266570.0,1725494908495278406,1725494896999404631,1725494896999404631,0.0,0.0,0.0,0.0,0.0,140755.0,140755.0,0.0,3.5522716777379135,0.0,0.0,2024-09-05,85603,cba
7904793995829013548,85603,17.0,50.0,0.34,34.0,1.0,17.0,Partially Filled,140870.0,140850.0,140830.0,140870.0,40.0,2.8399006034788785,140870.0,0.0,0.0,-1.4199503017394393,-1.4199503017394393,100.0,-1.4199503017394393,1.4199503017394393,2394790.0,1725494906100823758,1725494906100350760,1725494906100350760,0.0,0.0,0.0,0.0,0.0,140850.0,140850.0,0.0,2.8399006034788785,0.0,0.0,2024-09-05,85603,cba
7904793995829013657,85603,18.0,24.0,0.75,75.0,1.0,18.0,Partially Filled,140870.0,140850.0,140830.0,140870.0,40.0,2.8399006034788785,140870.0,0.0,0.0,-1.4199503017394393,-1.4199503017394393,100.0,-1.4199503017394393,1.4199503017394393,2535660.0,1725494907181149701,1725494907175031044,1725494907175031044,0.0,0.0,0.0,0.0,0.0,140850.0,140850.0,0.0,2.8399006034788785,0.0,0.0,2024-09-05,85603,cba
7904793995829016884,85603,7.0,25.0,0.28,28.000000000000004,1.0,7.0,Partially Filled,140850.0,140820.0,140790.0,140850.0,60.0,4.260758414997869,140850.0,0.0,0.0,-2.1303792074989345,-2.1303792074989345,100.0,-2.1303792074989345,2.1303792074989345,985950.0,1725494920280808018,1725494920275463014,1725494920275463014,0.0,0.0,0.0,0.0,0.0,140820.0,140820.0,0.0,4.260758414997869,0.0,0.0,2024-09-05,85603,cba
7904793995829016973,85603,19.0,25.0,0.76,76.0,1.0,19.0,Partially Filled,140840.0,140820.0,140790.0,140850.0,60.0,4.260758414997869,140840.0,0.0,0.0,-1.42025280499929,-1.7753790434257712,66.66666666666666,-1.42025280499929,1.42025280499929,2675960.0,1725494920364629904,1725494920287997395,1725494920287997395,0.0,0.0,0.0,0.0,0.0,140815.0,140815.0,0.0,3.5507580868515425,0.0,0.0,2024-09-05,85603,cba
7904793995829019977,85603,18.0,25.0,0.72,72.0,1.0,18.0,Partially Filled,140880.0,140860.0,140840.0,140880.0,40.0,2.839698991906858,140880.0,0.0,0.0,-1.419849495953429,-1.419849495953429,100.0,-1.419849495953429,1.419849495953429,2535840.0,1725494947932167245,1725494947932016009,1725494947932016009,0.0,0.0,0.0,0.0,0.0,140860.0,140860.0,0.0,2.839698991906858,0.0,0.0,2024-09-05,85603,cba
7904793995829034881,85603,18.0,50.0,0.36,36.0,1.0,18.0,Partially Filled,141120.0,141100.0,141080.0,141120.0,40.0,2.8348688873139616,141120.0,0.0,0.0,-1.4174344436569808,-2.12630236019562,100.0,-1.4174344436569808,1.4174344436569808,2540160.0,1725494978469912566,1725494976077359391,1725494976077359391,0.0,0.0,0.0,0.0,0.0,141090.0,141090.0,0.0,4.25260472039124,0.0,0.0,2024-09-05,85603,cba
7904793995829045978,85603,16.0,25.0,0.64,64.0,1.0,16.0,Partially Filled,141160.0,141145.0,141130.0,141160.0,30.0,2.1254738035353715,141160.0,0.0,0.0,-1.0627369017676858,-1.0627369017676858,100.0,-1.0627369017676858,1.0627369017676858,2258560.0,1725495010287432193,1725495010287312960,1725495010287312960,0.0,0.0,0.0,0.0,0.0,141145.0,141145.0,0.0,2.1254738035353715,0.0,0.0,2024-09-05,85603,cba
7904793995829047272,85603,23.0,25.0,0.92,92.0,1.0,23.0,Partially Filled,141140.0,141205.0,141170.0,141240.0,70.0,4.9573315392514425,141140.0,0.0,0.0,-4.6032364293049115,-2.8332625017707893,185.71428571428572,-4.6032364293049115,-4.6032364293049115,3246220.0,1725495038346914980,1725495014390712652,1725495014390712652,0.0,0.0,0.0,0.0,0.0,141180.0,141180.0,0.0,2.833262501770789,0.0,0.0,2024-09-05,85603,cba
7904793995829048708,85603,29.0,33.0,0.8787878787878788,87.87878787878788,1.0,29.0,Partially Filled,141250.0,141255.0,141240.0,141270.0,30.0,2.123818625889349,141250.0,0.0,0.0,-0.35396977098155813,-1.0618341415070964,33.33333333333333,-0.35396977098155813,-0.35396977098155813,4096250.0,1725495020208457237,1725495020003604207,1725495020003604207,0.0,0.0,0.0,0.0,0.0,141265.0,141265.0,0.0,2.123668283014193,0.0,0.0,2024-09-05,85603,cba
7904793995829049110,85603,10.0,12.0,0.8333333333333334,83.33333333333334,1.0,10.0,Partially Filled,141210.0,141270.0,141270.0,141270.0,0.0,0.0,141210.0,0.0,0.0,-4.247186239116585,-4.600955583082641,,-4.247186239116585,-4.247186239116585,1412100.0,1725495032702700418,1725495032702371126,1725495032702371126,0.0,0.0,0.0,0.0,0.0,141275.0,141275.0,0.0,0.7078393204742524,0.0,0.0,2024-09-05,85603,cba
7904793995829049141,85603,35.0,58.0,0.603448275862069,60.3448275862069,1.0,35.0,Partially Filled,141240.0,141235.0,141220.0,141250.0,30.0,2.1241193755089034,141240.0,0.0,0.0,0.3540198959181506,-0.35399483167545753,33.33333333333333,0.3540198959181506,0.3540198959181506,4943400.0,1725495019321976486,1725495019313651998,1725495019313651998,0.0,0.0,0.0,0.0,0.0,141245.0,141245.0,0.0,0.7079896633509151,0.0,0.0,2024-09-05,85603,cba
7904793995829051967,85603,6.0,25.0,0.24,24.0,1.0,6.0,Partially Filled,141330.0,141305.0,141280.0,141330.0,50.0,3.538445207175967,141330.0,0.0,0.0,-1.7692226035879834,-2.1231422505307855,100.0,-1.7692226035879834,1.7692226035879834,847980.0,1725496100158256456,1725496100157939495,1725496100157939495,0.0,0.0,0.0,0.0,0.0,141300.0,141300.0,0.0,2.8308563340410475,0.0,0.0,2024-09-05,85603,cba
7904793995829052243,85603,19.0,25.0,0.76,76.0,1.0,19.0,Partially Filled,141290.0,141285.0,141270.0,141300.0,30.0,2.1233676611105214,141290.0,0.0,0.0,-0.3538946101850869,-0.7078142695356738,33.33333333333333,-0.3538946101850869,0.3538946101850869,2684510.0,1725495028882681775,1725495028882424993,1725495028882424993,0.0,0.0,0.0,0.0,0.0,141280.0,141280.0,0.0,1.4156285390713477,0.0,0.0,2024-09-05,85603,cba
7904793995829054352,85603,15.0,25.0,0.6,60.0,1.0,15.0,Partially Filled,141260.0,141265.0,141260.0,141270.0,10.0,0.7078894276713977,141260.0,0.0,0.0,0.35394471383569887,0.0,100.0,0.35394471383569887,-0.35394471383569887,2118900.0,1725495037546434696,1725495037546208826,1725495037546208826,0.0,0.0,0.0,0.0,0.0,141260.0,141260.0,0.0,0.0,0.0,0.0,2024-09-05,85603,cba
7904793995829054518,85603,1.0,25.0,0.04,4.0,1.0,1.0,Partially Filled,141260.0,141230.0,141220.0,141240.0,20.0,1.4161297174821215,141260.0,0.0,0.0,-2.124194576223182,-2.124194576223182,300.0,-2.124194576223182,2.124194576223182,141260.0,1725495691460492177,1725495441311466880,1725495441311466880,0.0,0.0,0.0,0.0,0.0,141230.0,141230.0,0.0,4.248389152446364,0.0,0.0,2024-09-05,85603,cba
7904793995829058810,85603,12.0,3.0,4.0,400.0,1.0,12.0,Fully Filled,141210.0,141110.0,141090.0,141130.0,40.0,2.8346679895117286,141210.0,0.0,0.0,-7.086669973779322,-2.124946876328092,500.0,-7.086669973779322,7.086669973779322,1694520.0,1725495077353594779,1725495065012381753,1725495065012381753,0.0,0.0,0.0,0.0,0.0,141180.0,141180.0,0.0,4.249893752656184,0.0,0.0,2024-09-05,85603,cba
7904793995829063557,85603,14.0,25.0,0.56,56.00000000000001,1.0,14.0,Partially Filled,141120.0,141100.0,141080.0,141120.0,40.0,2.8348688873139616,141120.0,0.0,0.0,-1.4174344436569808,-1.4174344436569808,100.0,-1.4174344436569808,1.4174344436569808,1975680.0,1725495075864793501,1725495075864546564,1725495075864546564,0.0,0.0,0.0,0.0,0.0,141100.0,141100.0,0.0,2.8348688873139616,0.0,0.0,2024-09-05,85603,cba
7904793995829066120,85603,1.0,25.0,0.04,4.0,1.0,1.0,Partially Filled,141100.0,141070.0,141040.0,141100.0,60.0,4.253207627419012,141100.0,0.0,0.0,-2.126603813709506,-2.126603813709506,100.0,-2.126603813709506,2.126603813709506,141100.0,1725495099189803968,1725495099189661645,1725495099189661645,0.0,0.0,0.0,0.0,0.0,141070.0,141070.0,0.0,4.253207627419012,0.0,0.0,2024-09-05,85603,cba
7904793995829075418,85603,24.0,25.0,0.96,96.0,1.0,24.0,Partially Filled,141000.0,141020.0,141000.0,141040.0,40.0,2.8364770954474543,141000.0,0.0,0.0,-1.4182385477237271,-1.4182385477237271,100.0,-1.4182385477237271,-1.4182385477237271,3384000.0,1725495135405847919,1725495135405498586,1725495135405498586,0.0,0.0,0.0,0.0,0.0,141020.0,141020.0,0.0,2.8364770954474543,0.0,0.0,2024-09-05,85603,cba
7904793995829084533,85603,28.0,34.0,0.8235294117647058,82.35294117647058,2.0,14.0,Partially Filled,141060.0,141050.0,141040.0,141060.0,20.0,1.4179369018078696,141060.0,0.0,0.0,-0.7089684509039348,-0.7089684509039349,100.0,-0.7089684509039348,0.7089684509039348,3949680.0,1725495206332244024,1725495206319024013,1725495206332086150,0.0,0.013062137,0.0,0.013062137,0.0,141050.0,141050.0,0.0,1.4179369018078696,0.0,0.0,2024-09-05,85603,cba
7904793995829085852,85603,22.0,25.0,0.88,88.0,1.0,22.0,Partially Filled,141040.0,141000.0,140990.0,141010.0,20.0,1.4184397163120568,141040.0,0.0,0.0,-2.8368794326241136,-2.12750868732714,400.0,-2.8368794326241136,2.8368794326241136,3102880.0,1725495195069981473,1725495176555306983,1725495176555306983,0.0,0.0,0.0,0.0,0.0,141010.0,141010.0,0.0,4.25501737465428,0.0,0.0,2024-09-05,85603,cba
7904793995829091718,85603,11.0,23.0,0.4782608695652174,47.82608695652174,1.0,11.0,Partially Filled,141030.0,141085.0,141080.0,141090.0,10.0,0.7087925718538469,141030.0,0.0,0.0,-3.8983591451961583,-0.3545219271811962,1100.0,-3.8983591451961583,-3.8983591451961583,1551330.0,1725495216930403878,1725495203795057790,1725495203795057790,0.0,0.0,0.0,0.0,0.0,141035.0,141035.0,0.0,0.7090438543623924,0.0,0.0,2024-09-05,85603,cba
7904793995829094807,85603,6.0,25.0,0.24,24.0,1.0,6.0,Partially Filled,141070.0,141070.0,141060.0,141080.0,20.0,1.4177358758063374,141070.0,0.0,0.0,-0.0,-0.354446531740687,0.0,-0.0,0.0,846420.0,1725495221894456104,1725495221817456955,1725495221817456955,0.0,0.0,0.0,0.0,0.0,141065.0,141065.0,0.0,0.7088930634813739,0.0,0.0,2024-09-05,85603,cba
7904793995829095366,85603,12.0,16.0,0.75,75.0,1.0,12.0,Partially Filled,141070.0,141065.0,141060.0,141070.0,10.0,0.7088930634813739,141070.0,0.0,0.0,-0.35444653174068697,-0.354446531740687,100.0,-0.35444653174068697,0.35444653174068697,1692840.0,1725495227768358763,1725495225423060645,1725495225423060645,0.0,0.0,0.0,0.0,0.0,141065.0,141065.0,0.0,0.7088930634813739,0.0,0.0,2024-09-05,85603,cba
