partition,sequence,tradedate,bidprice,creationtime,offerprice,orderbookid,timestamp,userid,runid
1,2279300,1725456000000000000,3330,1725494536000032398,3340,110621,1725494536000532398,262826,1751364092
1,2279301,1725456000000000000,3335,1725515320122459614,3345,110621,1725515320122959614,262826,1751364092
