partition,sequence,tradedate,bidprice,creationtime,offerprice,orderbookid,timestamp,userid,runid
1,2279309,1751328000000000000,-9223372036854775808,1751328000012753000,15,74150,1751328000085537948,262826,1751364092
1,2279312,1751328000000000000,14,1751328000012760000,15,74150,1751328000085567753,262826,1751364092
1,2279315,1751328000000000000,110,1751328000012770000,-9223372036854775808,71760,1751328000085666435,262826,1751364092
1,2279318,1751328000000000000,105,1751328000012798000,-9223372036854775808,70698,1751328000085723671,262826,1751364092
1,2279321,1751328000000000000,1,1751328000012805000,-9223372036854775808,75290,1751328000085781267,262826,1751364092
1,2279324,1751328000000000000,6,1751328000012835000,-9223372036854775808,75511,1751328000085926855,262826,1751364092
1,2279327,1751328000000000000,280,1751328000012840000,-9223372036854775808,70936,1751328000085956126,262826,1751364092
1,2279330,1751328000000000000,20,1751328000012846000,-9223372036854775808,72167,1751328000086013434,262826,1751364092
